dinnerate,mess,meal,excellent,good,average,poor,day,remarks
21-09-2023,2,dinner,4,21,94,107,Thursday,
26-09-2023,2,lunch,45,91,37,6,Tuesday,
26-09-2023,1,lunch,0,19,82,44,Tuesday,
26-09-2023,2,dinner,0,20,81,45,Tuesday,
26-09-2023,1,dinner,6,24,29,57,Tuesday,
27-09-2023,1,breakfast,2,34,71,14,Wednesday,
27-09-2023,2,breakfast,1,1,79,39,Wednesday,
27-09-2023,1,lunch,2,45,46,11,Wednesday,
27-09-2023,2,lunch,0,13,85,28,Wednesday,
27-09-2023,1,dinner,1,14,60,28,Wednesday,
27-09-2023,2,dinner,1,9,43,75,Wednesday,
30-09-2023,1,dinner,0,1,31,86,Saturday,
30-09-2023,2,dinner,0,2,73,41,Saturday,
06-10-2023,2,breakfast,1,32,54,4,Friday,
06-10-2023,1,breakfast,1,28,49,8,Friday,
06-10-2023,1,lunch,0,0,32,54,Friday,
06-10-2023,2,lunch,0,2,56,44,Friday,
06-10-2023,1,dinner,0,3,13,58,Friday,
06-10-2023,2,dinner,0,11,45,29,Friday,
17-10-2023,2,dinner,0,3,33,48,Tuesday,
30-10-2023,2,dinner,0,0,18,77,Monday,
06-11-2023,2,breakfast,0,0,20,55,Monday,
08-11-2023,2,lunch,16,64,49,7,Wednesday,
09-11-2023,1,breakfast,0,3,36,53,Thursday,
09-11-2023,1,dinner,0,6,14,77,Thursday,
09-11-2023,2,dinner,0,4,13,53,Thursday,
21-11-2023,2,dinner,0,3,25,83,Tuesday,
03-12-2023,2,lunch,0,9,27,67,Sunday,
17-01-2024,1,dinner,0,1,15,69,Wednesday,
17-01-2024,2,dinner,0,1,15,69,Wednesday,
24-01-2024,2,breakfast,2,46,41,77,Wednesday,
25-01-2024,1,dinner,3,11,23,47,Thursday,
25-01-2024,2,dinner,1,8,26,109,Thursday,
28-01-2024,1,lunch,169,6,1,1,Sunday,SPECIAL
28-01-2024,2,lunch,169,6,1,1,Sunday,
29-01-2024,2,breakfast,4,44,86,39,Monday,
29-01-2024,2,lunch,1,7,9,75,Monday,
29-01-2024,1,dinner,1,7,18,80,Monday,
29-01-2024,2,dinner,25,71,25,29,Monday,
30-01-2024,1,breakfast,1,10,32,42,Tuesday,
30-01-2024,1,breakfast,2,6,37,81,Tuesday,
30-01-2024,1,lunch,1,6,9,74,Tuesday,
30-01-2024,2,lunch,1,7,9,75,Tuesday,
30-01-2024,1,dinner,1,14,36,42,Tuesday,
30-01-2024,2,dinner,1,14,36,42,Tuesday,
31-01-2024,2,breakfast,3,13,41,92,Wednesday,
31-01-2024,2,lunch,0,2,41,124,Wednesday,
01-02-2024,1,lunch,2,33,47,91,Thursday,
01-02-2024,2,lunch,2,33,47,91,Thursday,
02-02-2024,2,breakfast,1,7,37,97,Friday,
02-02-2024,1,breakfast,1,7,23,91,Friday,
02-02-2024,2,dinner,1,5,44,87,Friday,
02-02-2024,1,dinner,1,21,32,50,Friday,
03-02-2024,2,breakfast,1,3,65,64,Saturday,
04-02-2024,2,breakfast,1,11,57,65,Sunday,
04-02-2024,1,breakfast,1,28,36,13,Sunday,
04-02-2024,2,lunch,1,3,12,142,Sunday,
04-02-2024,1,lunch,1,1,7,97,Sunday,
05-02-2024,2,breakfast,1,9,66,52,Monday,
07-02-2024,2,lunch,2,17,43,49,Wednesday,
07-02-2024,1,lunch,2,26,45,11,Wednesday,
09-02-2024,2,breakfast,1,8,64,34,Friday,
09-02-2024,1,breakfast,3,10,25,29,Friday,
10-02-2024,1,breakfast,1,26,16,12,Saturday,
10-02-2024,2,breakfast,1,3,61,30,Saturday,
10-02-2024,2,lunch,1,9,26,48,Saturday,
11-02-2024,2,breakfast,0,5,30,68,Sunday,
11-02-2024,2,lunch,2,32,25,22,Sunday,
11-02-2024,1,lunch,2,32,25,22,Sunday,
12-02-2024,1,breakfast,1,1,4,50,Monday,
12-02-2024,2,breakfast,1,3,20,48,Monday,
14-02-2024,2,breakfast,2,8,21,52,Wednesday,
14-02-2024,1,lunch,24,60,8,2,Wednesday,
14-02-2024,2,breakfast,24,60,8,2,Wednesday,
15-02-2024,2,breakfast,1,26,21,17,Thursday,
15-02-2024,2,lunch,2,17,35,16,Thursday,
16-02-2024,2,breakfast,1,4,36,32,Friday,
16-02-2024,1,lunch,1,1,8,46,Friday,
16-02-2024,2,lunch,1,3,21,73,Friday,
17-02-2024,1,breakfast,1,8,29,26,Saturday,
17-02-2024,2,breakfast,1,9,37,67,Saturday,
17-02-2024,1,lunch,1,3,17,52,Saturday,
17-02-2024,2,lunch,1,3,17,52,Saturday,
18-02-2024,1,breakfast,1,17,27,35,Sunday,
18-02-2024,2,breakfast,1,17,27,35,Sunday,
18-02-2024,1,dinner,1,5,13,53,Sunday,
18-02-2024,1,dinner,1,5,13,53,Sunday,
19-02-2024,2,breakfast,1,10,73,26,Monday,
19-02-2024,1,breakfast,2,7,36,30,Monday,
23-02-2024,1,breakfast,1,13,20,27,Friday,
23-02-2024,2,breakfast,0,8,51,40,Friday,
23-02-2024,1,dinner,0,3,31,21,Friday,
23-02-2024,2,dinner,0,1,58,52,Friday,
24-02-2024,2,breakfast,3,17,51,19,Saturday,
24-02-2024,1,breakfast,0,2,23,26,Saturday,
24-02-2024,1,lunch,1,17,29,22,Saturday,
24-02-2024,2,lunch,1,17,29,22,Saturday,
25-02-2024,1,lunch,1,10,29,31,Sunday,
25-02-2024,2,lunch,1,10,29,31,Sunday,
25-02-2024,2,breakfast,1,5,13,78,Sunday,
25-02-2024,1,breakfast,1,17,52,21,Sunday,
25-02-2024,1,dinner,1,10,58,64,Sunday,
25-02-2024,1,dinner,2,19,27,69,Sunday,
26-02-2024,1,breakfast,4,9,14,24,Monday,
26-02-2024,2,breakfast,1,68,23,0,Monday,
26-02-2024,1,lunch,1,16,32,10,Monday,
26-02-2024,2,lunch,1,9,48,22,Monday,
26-02-2024,1,dinner,1,10,36,45,Monday,
26-02-2024,2,dinner,3,7,56,57,Monday,
27-02-2024,2,breakfast,1,31,34,18,Tuesday,
27-02-2024,1,breakfast,5,26,14,19,Tuesday,
29-02-2024,2,lunch,1,40,29,22,Thursday,
29-02-2024,1,lunch,2,1,20,32,Thursday,
01-03-2024,2,breakfast,2,1,16,40,Friday,
01-03-2024,1,breakfast,4,30,10,25,Friday,
02-03-2024,2,breakfast,2,22,12,15,Saturday,
02-03-2024,2,lunch,21,12,23,12,Saturday,
02-03-2024,1,dinner,1,0,1,23,Saturday,
02-03-2024,2,dinner,1,0,1,46,Saturday,
03-03-2024,2,breakfast,1,13,26,11,Sunday,
03-03-2024,2,lunch,1,16,42,29,Sunday,
03-03-2024,1,dinner,2,3,13,23,Sunday,
03-03-2024,2,dinner,3,4,14,24,Sunday,
04-03-2024,1,breakfast,3,24,13,30,Monday,
04-03-2024,2,breakfast,7,27,31,16,Monday,
04-03-2024,1,dinner,2,6,43,12,Monday,
04-03-2024,2,dinner,2,6,23,43,Monday,
05-03-2024,1,dinner,2,4,3,40,Tuesday,
05-03-2024,2,dinner,4,8,22,47,Tuesday,
06-03-2024,1,breakfast,1,13,11,9,Wednesday,
06-03-2024,2,breakfast,2,2,4,20,Wednesday,
06-03-2024,1,lunch,2,40,7,10,Wednesday,
06-03-2024,2,lunch,4,23,16,18,Wednesday,
06-03-2024,1,dinner,2,5,15,10,Wednesday,
06-03-2024,2,dinner,2,18,20,18,Wednesday,
08-03-2024,2,lunch,2,9,11,27,Friday,
08-03-2024,1,lunch,1,6,16,14,Friday,
08-03-2024,2,dinner,1,15,23,10,Friday,
08-03-2024,1,dinner,1,1,8,25,Friday,
08-03-2024,1,dinner,3,6,13,12,Friday,
08-03-2024,2,dinner,2,12,6,37,Friday,
09-03-2024,2,breakfast,1,11,24,37,Saturday,
09-03-2024,2,lunch,4,10,12,21,Saturday,
09-03-2024,1,lunch,3,13,24,8,Saturday,
10-03-2024,1,breakfast,4,20,18,1,Sunday,
10-03-2024,2,breakfast,3,8,26,15,Sunday,
10-03-2024,1,lunch,2,17,4,18,Sunday,
10-03-2024,2,lunch,6,12,9,36,Sunday,
10-03-2024,1,dinner,2,7,10,15,Sunday,
10-03-2024,2,dinner,2,10,26,13,Sunday,
10-03-2024,1,dinner,10,12,10,3,Sunday,
10-03-2024,2,dinner,32,14,3,11,Sunday,
12-03-2024,1,breakfast,2,7,22,13,Tuesday,
12-03-2024,2,breakfast,2,17,30,19,Tuesday,
12-03-2024,1,lunch,1,10,9,11,Tuesday,
12-03-2024,2,lunch,2,21,9,18,Tuesday,
12-03-2024,1,dinner,1,4,6,27,Tuesday,
12-03-2024,2,dinner,3,3,23,32,Tuesday,
14-03-2024,2,breakfast,1,4,3,25,Thursday,
14-03-2024,1,breakfast,2,6,7,31,Thursday,
14-03-2024,1,lunch,1,12,12,17,Thursday,
14-03-2024,2,lunch,2,40,15,10,Thursday,
14-03-2024,1,dinner,2,4,10,17,Thursday,
14-03-2024,2,dinner,1,3,5,42,Thursday,
16-03-2024,2,breakfast,3,6,28,13,Saturday,
16-03-2024,2,lunch,1,9,16,16,Saturday,
16-03-2024,1,lunch,1,22,18,3,Saturday,
17-03-2024,1,breakfast,0,9,15,19,Sunday,
17-03-2024,2,breakfast,0,5,28,16,Sunday,
17-03-2024,1,lunch,0,10,10,22,Sunday,
17-03-2024,2,lunch,2,9,11,28,Sunday,
17-03-2024,1,dinner,1,4,6,24,Sunday,
17-03-2024,2,dinner,0,1,16,25,Sunday,
19-03-2024,2,breakfast,0,3,16,23,Tuesday,
19-03-2024,1,breakfast,0,9,7,26,Tuesday,
19-03-2024,2,lunch,0,7,6,18,Tuesday,
19-03-2024,1,lunch,0,1,31,12,Tuesday,
21-03-2024,1,breakfast,10,9,7,10,Thursday,
21-03-2024,2,breakfast,1,7,9,19,Thursday,
21-03-2024,1,lunch,1,2,10,13,Thursday,
21-03-2024,2,lunch,0,1,21,10,Thursday,TENDER CHANGE
02-04-2024,2,breakfast,5,56,12,28,Tuesday,
02-04-2024,1,breakfast,1,8,17,73,Tuesday,
02-04-2024,1,lunch,0,2,18,56,Tuesday,
02-04-2024,2,lunch,1,5,6,69,Tuesday,
02-04-2024,1,lunch,1,43,13,20,Tuesday,
02-04-2024,2,lunch,1,45,16,20,Tuesday,
02-04-2024,1,lunch,0,4,35,44,Tuesday,
02-04-2024,2,lunch,0,7,36,42,Tuesday,
02-04-2024,1,lunch,0,17,19,14,Tuesday,
02-04-2024,2,lunch,0,16,18,13,Tuesday,
03-04-2024,1,breakfast,0,8,13,89,Wednesday,
03-04-2024,2,breakfast,4,27,20,57,Wednesday,
03-04-2024,1,lunch,2,69,29,16,Wednesday,
03-04-2024,1,lunch,1,63,30,13,Wednesday,
03-04-2024,1,lunch,0,43,28,15,Wednesday,
03-04-2024,1,lunch,1,10,20,32,Wednesday,
03-04-2024,2,lunch,3,56,24,6,Wednesday,
03-04-2024,2,lunch,0,20,63,13,Wednesday,
03-04-2024,2,lunch,0,23,44,17,Wednesday,
03-04-2024,2,lunch,1,26,32,14,Wednesday,
03-04-2024,1,dinner,9,109,16,10,Wednesday,
03-04-2024,2,dinner,0,7,40,19,Wednesday,
03-04-2024,2,dinner,0,20,43,23,Wednesday,
03-04-2024,1,dinner,0,6,24,36,Wednesday,
04-04-2024,1,dinner,0,19,34,46,Thursday,
04-04-2024,2,dinner,1,27,15,41,Thursday,
04-04-2024,1,dinner,0,18,40,22,Thursday,
04-04-2024,2,dinner,6,47,16,4,Thursday,
05-04-2024,2,breakfast,0,5,27,38,Friday,
05-04-2024,1,breakfast,0,36,24,17,Friday,
05-04-2024,2,dinner,5,85,64,5,Friday,
05-04-2024,1,dinner,0,36,32,20,Friday,
06-04-2024,1,lunch,3,6,17,52,Saturday,
06-04-2024,2,lunch,1,3,18,59,Saturday,
06-04-2024,2,dinner,1,8,36,47,Saturday,
07-04-2024,2,breakfast,7,39,20,9,Sunday,
07-04-2024,2,breakfast,7,78,0,8,Sunday,
07-04-2024,1,breakfast,0,14,20,26,Sunday,
07-04-2024,1,dinner,1,2,11,72,Sunday,
07-04-2024,2,dinner,6,58,27,12,Sunday,
07-04-2024,2,dinner,0,2,20,31,Sunday,
